State,Residential Million Btu
Montana,92
North Dakota,90.3
Wyoming,90.1
West Virginia,85.5
Missouri,83.1
Nebraska,81.1
Indiana,77.5
Tennessee,76.6
South Dakota,76
Kentucky,75.7
Alaska,75.4
Michigan,75.4
Oklahoma,75
Arkansas,74.6
Illinois,73.7
Kansas,73.5
Maine,73.4
Idaho,73.3
Minnesota,72.7
Ohio,72.4
Iowa,72.3
Wisconsin,72.2
South Carolina,71.9
New Hampshire,69.8
Delaware,69
Louisiana,68
Alabama,67.2
Pennsylvania,67.2
North Carolina,67.1
Vermont,66.7
Connecticut,66.3
Virginia,66
Georgia,65.2
Colorado,65
Mississippi,64.6
Maryland,63.1
New Jersey,62.6
Washington,61.9
Oregon,60.4
Massachusetts,60
Nevada,59.4
Texas,59.1
New Mexico,58.8
Arizona,58.7
Utah,57.4
Rhode Island,56.2
New York,55.8
Florida,55.4
California,37.6
Hawaii,25.6
